Reef_ID,Nick_ID,Lat,Long,Unique_ID,Label.ID,GBR.Name,OldReefName,Area_desc,Shelf.position,AIMS_Sector,GreenZone,Ref.Area.km2,Geom.total.km2,Geom.CH.km2,Ungrazable
830,512,-15.5384,145.781,15075102104,15-075b,Ribbon No 2 Reef (No 2),Ribbon No 2 Reef (No 2) (15-075b),Cairns/Cooktown,3,3,1,0.106260556,0.363220596,0.142207287,0.277629791
831,523,-15.5732,145.7783,15075103104,15-075c,Ribbon No 2 Reef (No 3),Ribbon No 2 Reef (No 3) (15-075c),Cairns/Cooktown,3,3,1,0.130066151,0.289166764,0.065106603,0.246129554
832,515,-15.5611,145.5934,15076100104,15-076,U/N Reef,U/N Reef (15-076),Cairns/Cooktown,2,3,0,0.767015589,1.062497936,0.507477106,0.217806227
833,516,-15.5584,145.6495,15077100104,15-077,U/N Reef,U/N Reef (15-077),Cairns/Cooktown,2,3,0,6.256630052,12.33839926,8.12437329,0.223078238
834,515,-15.5563,145.5322,15078100104,15-078,Osterlund Reef,Osterlund Reef (15-078),Cairns/Cooktown,2,3,0,57.15305296,89.84319198,39.61256258,0.291743735
835,522,-15.595,145.7678,15079100104,15-079,U/N Reef,U/N Reef (15-079),Cairns/Cooktown,3,3,0,1.685961267,3.266919745,0.037757755,0.30025842
836,594,-16.7671,145.9987,16049100104,16-049,Green Island Reef,Green Island Reef (16-049),Cairns/Cooktown,2,4,1,35.45378551,45.03089486,15.07513568,0.250079747
837,601,-16.8867,145.8945,16051102104,16-051b,Rocky Island Reef,Rocky Island Reef (16-051b),Cairns/Cooktown,1,4,0,0.105652762,0.664398327,0.433713551,0.273867268
838,601,-16.8911,145.9545,16109100104,16-109,U/N Reef,U/N Reef (16-109),Cairns/Cooktown,1,4,0,0.006103224,0.047000423,3.53306e-4,0.267187447
839,601,-16.894,145.956,16110100104,16-110,U/N Reef,U/N Reef (16-110),Cairns/Cooktown,1,4,0,0.022880942,0.135279854,0.001161277,0.267199395
840,601,-16.9364,145.934,16111100104,16-111,U/N Reef,U/N Reef (16-111),out,1,4,1,0.067619353,0.03910286,0.018137299,0.273867268
841,601,-16.9546,145.926,16112100104,16-112,U/N Reef,U/N Reef (16-112),Cairns/Cooktown,1,4,0,0.211363035,0.788527267,0.532423042,0.252842671
842,601,-16.9727,145.9081,16113100104,16-113,U/N Reef,U/N Reef (16-113),Cairns/Cooktown,1,4,0,0.022943619,0.195840921,0.111103927,0.251581457
843,651,-17.8496,146.4836,17051100104,17-051,Beaver Reef,Beaver Reef (17-051),Cairns/Cooktown,2,5,1,18.89067544,29.8813775,11.13683709,0.254246114
844,647,-17.8559,146.1168,17052100104,17-052,U/N Reef,U/N Reef (17-052),Cairns/Cooktown,1,5,0,2.184810083,7.054259204,4.474141739,0.273459584
845,657,-17.9516,146.1511,17053100104,17-053,Stingaree Reefs,Stingaree Reefs (17-053),Townsville/Whitsunday,1,5,0,1.768141113,6.186831214,5.373352011,0.273864466
846,658,-17.964,146.139,17054100104,17-054,U/N Reef,U/N Reef (17-054),Townsville/Whitsunday,1,5,0,0.344311017,0.712249898,0.007525668,0.267195113
847,658,-17.9766,146.1358,17055100104,17-055,Thorpe (Timana) Reef,Thorpe (Timana) Reef (17-055),Townsville/Whitsunday,1,5,0,0.711221216,2.87076891,0.496539798,0.273867268
848,523,-15.6058,145.8051,15080100104,15-080,Ribbon No 1 Reef,Ribbon No 1 Reef (15-080),Cairns/Cooktown,3,3,0,3.485164565,9.061644018,7.384147913,0.292142475
849,517,-15.6073,145.5151,15081100104,15-081,Rosser Reef,Rosser Reef (15-081),Cairns/Cooktown,2,3,0,9.600900215,19.42244451,18.12690409,0.343722999
850,518,-15.606,145.6263,15082100104,15-082,Emily Reef,Emily Reef (15-082),Cairns/Cooktown,2,3,0,35.309992630000004,50.33942678,21.66756096,0.229631423
851,521,-15.63,145.5081,15083100104,15-083,Gill Patches,Gill Patches (15-083),Cairns/Cooktown,2,3,0,0.243881847,0.116022459,9.76679e-4,0.237734295
852,522,-15.6476,145.7151,15084100104,15-084,Irene Reef,Irene Reef (15-084),Cairns/Cooktown,2,3,0,12.01722421,20.7542222,14.36351174,0.22272043
853,523,-15.6465,145.808,15085100104,15-085,Lena Reef,Lena Reef (15-085),Cairns/Cooktown,3,3,0,8.376362616,11.53311849,9.823694623,0.291193449
854,601,-16.8835,145.8947,16051101104,16-051a,Rocky Island Reef,Rocky Island Reef (16-051a),Cairns/Cooktown,1,4,0,0.001958096,4.85926e-4,1.30236e-4,0.273867268
855,601,-16.8998,145.9563,16052100104,16-052,U/N Reef,U/N Reef (16-052),Cairns/Cooktown,1,4,0,0.078885208,0.364124934,0.00353832,0.267193961
856,601,-16.9084,145.9486,16053100104,16-053,U/N Reef,U/N Reef (16-053),Cairns/Cooktown,1,4,1,0.144601129,0.315825883,0.190202719,0.262005707
857,601,-16.9249,145.9936,16054101104,16-054a,Fitzroy Island Reef (No 1),Fitzroy Island Reef (No 1) (16-054a),Cairns/Cooktown,1,4,0,0.163865594,0.875385164,0.351994505,0.257153647
858,580,-16.6045,146.0754,16800100104,16-800,U/N Reef,U/N Reef (16-800),Cairns/Cooktown,2,4,0,0.376021354,1.093084846,0.062684558,0.237745431
859,601,-16.9944,145.8998,16801100104,16-801,U/N Reef,U/N Reef (16-801),Cairns/Cooktown,1,4,0,0.173146614,0.970076238,0.672194009,0.270149021
860,607,-16.9984,146.205,17001101104,17-001a,Sudbury Reef (No 1),Sudbury Reef (No 1) (17-001a),Cairns/Cooktown,2,5,0,89.73200622,127.5064364,40.69597144,0.271587851
861,658,-17.9694,146.0997,17056100104,17-056,U/N Reef,U/N Reef (17-056),out,1,5,0,1.42613745,3.495472162,2.837055393,0.273867268
862,633,-17.5805,146.5783,17057100104,17-057,Gilbey Reef,Gilbey Reef (17-057),Cairns/Cooktown,3,5,0,7.712364009,16.22440521,11.07885619,0.28880262
863,646,-17.6696,146.7154,17058100104,17-058,Armistice Reef,Armistice Reef (17-058),Cairns/Cooktown,3,5,0,1.468153777,3.859926691,2.345511356,0.295692236
864,638,-17.6975,146.5444,17059101104,17-059a,Potter Reef (No 1),Potter Reef (No 1) (17-059a),Cairns/Cooktown,2,5,0,20.69361045,24.47953912,11.84135575,0.223783386
865,640,-17.7247,146.5545,17059102104,17-059b,Potter Reef (No 2),Potter Reef (No 2) (17-059b),Cairns/Cooktown,2,5,0,1.037319878,0.917543011,0.018982775,0.194561007
866,638,-17.6941,146.5721,17059103104,17-059c,Potter Reef (No 3),Potter Reef (No 3) (17-059c),Cairns/Cooktown,2,3,0,1.912406403,3.787621746,0.859350038,0.218336765
867,525,-15.6723,145.5087,15086100104,15-086,Cairns Reef,Cairns Reef (15-086),Cairns/Cooktown,2,4,0,90.01771819,101.5799225,78.53138798,0.337017176
868,529,-15.7188,145.8004,15087100104,15-087,Pearl Reef,Pearl Reef (15-087),Cairns/Cooktown,3,4,0,1.810226114,3.723159327,2.877330866,0.29653547
869,529,-15.7498,145.7808,15088100104,15-088,Ruby Reef,Ruby Reef (15-088),Cairns/Cooktown,3,3,0,16.83177634,26.44180168,15.64313308,0.30394523
870,527,-15.7766,145.5818,15089100104,15-089,Endeavour Reef,Endeavour Reef (15-089),Cairns/Cooktown,2,4,1,20.42596028,34.29470779,23.29885201,0.261164861
871,529,-15.7893,145.8032,15090100104,15-090,Andersen Reef,Andersen Reef (15-090),Cairns/Cooktown,3,4,0,5.163958749,8.573469775,7.062107779,0.290286133
872,529,-15.8114,145.7752,15091101104,15-091a,U/N Reef,U/N Reef (15-091a),Cairns/Cooktown,3,4,0,0.270952084,0.350541152,0.010855709,0.292999814
873,531,-15.8223,145.773,15091102104,15-091b,U/N Reef,U/N Reef (15-091b),Cairns/Cooktown,3,4,0,0.564223742,1.422801824,0.913469195,0.286051702
874,531,-15.8297,145.8194,15092100104,15-092,Rachel Carson Reef,Rachel Carson Reef (15-092),Cairns/Cooktown,3,4,0,6.468919997,13.06681272,9.163270349,0.295669155
875,601,-16.933,145.9847,16054102104,16-054b,Fitzroy Island Reef (No 2),Fitzroy Island Reef (No 2) (16-054b),Cairns/Cooktown,1,4,0,0.024902996,0.054743419,0.005748052,0.251116139
876,601,-16.9346,145.9829,16054103104,16-054c,U/N Reef,U/N Reef (16-054c),Cairns/Cooktown,1,4,0,0.006136258,0.036577566,2.67029e-4,0.267204466
877,601,-16.9318,145.9862,16054104104,16-054d,U/N Reef,U/N Reef (16-054d),Cairns/Cooktown,1,4,0,4.41625e-4,0.008362127,0.003198486,0.251116139
878,601,-16.9317,145.9875,16054105104,16-054e,U/N Reef,U/N Reef (16-054e),Cairns/Cooktown,1,4,0,0.002950153,0.038207576,2.8005e-4,0.267199808
879,601,-16.9414,145.9885,16054106104,16-054f,U/N Reef,U/N Reef (16-054f),Cairns/Cooktown,1,5,0,0.173243242,0.877137278,0.196985822,0.251116139
880,605,-16.9505,146.1951,17001102104,17-001b,Sudbury Reef (No 2),Sudbury Reef (No 2) (17-001b),Cairns/Cooktown,2,5,0,0.974884095,0.607340034,0.035199034,0.228214562
881,605,-16.9529,146.2169,17001103104,17-001c,Sudbury Reef (No 3),Sudbury Reef (No 3) (17-001c),Cairns/Cooktown,2,5,0,0.139553382,0.532833639,0.079354435,0.23225842
