"Reef.Number","OldReefName","Year","Coral.Cover","Method","Lat","Long","Mean","CoverLower_estimate","CoverUpper_estimate","Range"
2363,"Shaw Island Reef (No 5) (20-102i)",2014,14.18849,"Reefmod",NA,NA,53.7643082762456,40.121278104189,64.3114598211006,24.1901817169116
2364,"Shaw Island Reef (No 6) (20-102e)",2014,13.2307,"Reefmod",NA,NA,48.2868583853887,39.9978957417703,54.8733011071509,14.8754053653807
2365,"Shaw Island Reef (No 7) (20-102f)",2014,19.34963,"Reefmod",NA,NA,53.6046582705937,48.036800314239,60.3841982907691,12.3473979765301
2366,"U/N Reef (20-184)",2014,7.174451,"Reefmod",NA,NA,53.7396203344343,40.7892213608215,63.7986973930835,23.0094760322619
2367,"20-185a",2023,31,"Census",-20.3541,150.5844,46.2963828720085,37.6044217083374,54.8408538754243,17.2364321670868
2368,"U/N Reef (20-185b)",2014,4.65529,"Reefmod",NA,NA,51.3115243938568,33.0309262018025,67.2359692432418,34.2050430414392
2369,"Thomas Reef (No 4) (20-234d)",2014,13.87951,"Reefmod",NA,NA,53.9231137285338,47.1270239135837,61.1667032119225,14.0396792983388
2370,"Thomas Reef (No 5) (20-234e)",2014,15.86205,"Reefmod",NA,NA,53.5179418999816,44.7295234484753,64.1892906970746,19.4597672485992
2371,"Thomas Reef (No 6) (20-234f)",2014,9.299203,"Reefmod",NA,NA,53.8843299382431,46.1382907101601,63.4307691986322,17.2924784884721
2372,"Thomas Reef (No 7) (20-234g)",2014,15.19739,"Reefmod",NA,NA,52.4177027631733,46.3037668695185,58.9926339901121,12.6888671205936
2373,"Green Reef (20-285)",2014,28.54903,"Reefmod",NA,NA,42.9234205546608,33.1039059819842,54.8711930878969,21.7672871059126
2374,"Parker Reef (20-286)",2014,19.40145,"Reefmod",NA,NA,55.4397364607974,43.9320768901518,64.4959693506258,20.5638924604741
2375,"Credlin Reefs (East) (20-287)",2023,11.27,"Manta",NA,NA,20.981783020564,14.8610496741194,25.9174558778208,11.0564062037015
2376,"Credlin Reefs (West) (20-288)",2014,21.19943,"Reefmod",NA,NA,57.5304606177912,53.4466345495932,65.5137764921333,12.06714194254
2377,"Shaw Island Reef (No 8) (20-102g)",2014,21.47749,"Reefmod",NA,NA,56.359261999295,49.7785015254247,62.6926605601527,12.914159034728
2378,"Shaw Island Reef (No 9) (20-102h)",2014,17.55873,"Reefmod",NA,NA,58.3919413527534,49.5250623029921,65.6312096255857,16.1061473225936
2379,"Shaw Island Reef (No 10) (20-102k)",2014,17.84306,"Reefmod",NA,NA,55.0926270934871,46.7816608825408,63.4635520511627,16.6818911686219
2380,"Shaw Island Reef (No 11) (20-102j)",2014,17.64965,"Reefmod",NA,NA,58.8296224992764,54.092545807474,64.6624008085786,10.5698550011046
2381,"Shaw Island Reef (No 12) (20-102l)",2014,20.8352,"Reefmod",NA,NA,53.5060211062783,41.5807672415162,62.3208604732972,20.7400932317809
2382,"U/N Reef (20-103)",2014,22.69578,"Reefmod",NA,NA,63.7119043322958,58.744501068801,72.3865158259318,13.6420147571308
2383,"U/N Reef (20-185c)",2014,3.791256,"Reefmod",NA,NA,59.3412850090406,52.9410888987947,70.3816718640164,17.4405829652216
2384,"U/N Reef (20-186)",2014,4.259578,"Reefmod",NA,NA,58.5504409032668,45.725608860779,68.4634906798696,22.7378818190906
2385,"Muirhead Reef (20-187)",2014,4.447028,"Reefmod",NA,NA,58.7882275609403,40.4991705652859,69.6196347378077,29.1204641725218
2386,"U/N Reef (20-188)",2014,6.401742,"Reefmod",NA,NA,58.5918216032005,53.3832858861463,64.4881249054989,11.1048390193526
2387,"U/N Reef (20-189)",2014,7.438489,"Reefmod",NA,NA,63.8475370638977,53.3390020453571,72.3975339656156,19.0585319202584
2388,"Thomas Reef (No 8) (20-234h)",2014,15.95152,"Reefmod",NA,NA,52.9357989509829,49.7064747633739,61.9825066275198,12.2760318641459
2389,"Fairlight Reef (20-235)",2014,5.8785,"Reefmod",NA,NA,48.3913033176676,34.563305779186,62.8567919380761,28.29348615889
2390,"St Helen Reef (20-236)",2014,6.35948,"Reefmod",NA,NA,49.9339356027044,34.4732125347434,61.3975547414351,26.9243422066917
2391,"Goldsmith Island Reef (No 1) (20-237a)",2014,13.32433,"Reefmod",NA,NA,56.8390353817377,53.5545709109964,59.7742135611263,6.21964265012993
2392,"Goldsmith Island Reef (No 2) (20-237b)",2014,24.89332,"Reefmod",NA,NA,54.0808294104912,43.5088698264619,61.539143616226,18.030273789764
2393,"Calder Reef (20-289)",2014,18.87055,"Reefmod",NA,NA,60.6482438198264,52.6361277693087,65.7113984552787,13.07527068597
2394,"Scawfell Reef (No 1) (20-290a)",2023,4.3,"COTS",NA,NA,13.4580470477962,11.7190341231596,14.8275121203011,3.10847799714147
2395,"Scawfell Reef (No 2) (20-290b)",2014,20.60969,"Reefmod",NA,NA,50.6013423417317,42.2964699853516,62.2590512440425,19.9625812586908
2396,"Three Rocks Reef (20-291)",2014,20.28138,"Reefmod",NA,NA,51.3222754870834,42.8943477550346,57.9288250064641,15.0344772514295
